curb_id,window,observed_occupancy
N00_00_N00_01_S0,calibration,0.8373235290159656
N00_00_N00_01_S0,validation,0.7996857936766163
N00_00_N01_00_S0,calibration,0.7660984591345071
N00_00_N01_00_S0,validation,0.8152497082640752
N00_00_N01_00_S1,calibration,0.7739548526037922
N00_00_N01_00_S1,validation,0.7865495974757452
N00_01_N00_02_S0,calibration,0.7723409833230463
N00_01_N00_02_S0,validation,0.8215967486186506
N00_01_N01_01_S0,calibration,0.9098079905292287
N00_01_N01_01_S0,validation,0.9648144721666576
N00_01_N01_01_S1,calibration,0.8897671885036316
N00_01_N01_01_S1,validation,0.8886095189991978
N00_02_N00_03_S0,calibration,0.7741625665835877
N00_02_N00_03_S0,validation,0.7499507195361937
N00_02_N00_03_S1,calibration,0.8419153316358522
N00_02_N00_03_S1,validation,0.8092655608310385
N00_02_N01_02_S0,calibration,0.7186002005781326
N00_02_N01_02_S0,validation,0.8326369182318599
N00_02_N01_02_S1,calibration,0.6026792562561997
N00_02_N01_02_S1,validation,0.7496401286194437
N00_03_N00_04_S0,calibration,0.7491271232907386
N00_03_N00_04_S0,validation,0.8184342183710088
N00_03_N00_04_S1,calibration,0.687359676591192
N00_03_N00_04_S1,validation,0.7274561335642135
N00_03_N01_03_S0,calibration,1.0
N00_03_N01_03_S0,validation,0.8915563553172439
N00_03_N01_03_S1,calibration,0.8483158206283097
N00_03_N01_03_S1,validation,0.8742660611891876
N00_04_N01_04_S1,calibration,0.7086840366280039
N00_04_N01_04_S1,validation,0.7006829305504413
N01_00_N01_01_S0,calibration,0.9078693615180605
N01_00_N01_01_S0,validation,0.9501246649676806
N01_00_N02_00_S0,calibration,0.84583313093255
N01_00_N02_00_S0,validation,0.8030940731501481
N01_00_N02_00_S1,calibration,0.7715143681341597
N01_00_N02_00_S1,validation,0.7863778968460089
N01_01_N01_02_S0,calibration,0.5099501810854239
N01_01_N01_02_S0,validation,0.7816657970950311
N01_01_N01_02_S1,calibration,0.4545429518702495
N01_01_N01_02_S1,validation,0.6980223347770964
N01_01_N02_01_S0,calibration,0.6009279251229956
N01_01_N02_01_S0,validation,0.8118529997291895
N01_01_N02_01_S1,calibration,0.4879806743166971
N01_01_N02_01_S1,validation,0.6771819894976142
N01_02_N01_03_S0,calibration,0.5047455464149198
N01_02_N01_03_S0,validation,0.7450674051983596
N01_02_N02_02_S0,calibration,0.816391700663914
N01_02_N02_02_S0,validation,0.8301155381516098
N01_02_N02_02_S1,calibration,0.7776312982518407
N01_02_N02_02_S1,validation,0.776886623361913
N01_03_N01_04_S0,calibration,0.915213120320522
N01_03_N01_04_S0,validation,0.8591348765764965
N01_03_N01_04_S1,calibration,0.9254465061338043
N01_03_N01_04_S1,validation,0.9136742013563771
N01_03_N02_03_S0,calibration,0.5268774437564646
N01_03_N02_03_S0,validation,0.8403868729012125
N01_03_N02_03_S1,calibration,0.557126417109958
N01_03_N02_03_S1,validation,0.7376968282899927
N01_04_N02_04_S0,calibration,0.8150795971406355
N01_04_N02_04_S0,validation,0.8304046561910278
N01_04_N02_04_S1,calibration,0.729869668702744
N01_04_N02_04_S1,validation,0.8241648223057778
N02_00_N02_01_S0,calibration,0.5096141670048281
N02_00_N02_01_S0,validation,0.7151314124788684
N02_00_N02_01_S1,calibration,0.4522346258878934
N02_00_N02_01_S1,validation,0.595933595355947
N02_00_N03_00_S0,calibration,0.7619462863588756
N02_00_N03_00_S0,validation,0.8753307593133373
N02_00_N03_00_S1,calibration,0.7734640777949322
N02_00_N03_00_S1,validation,0.8120929709412226
N02_01_N02_02_S0,calibration,0.7742845427101459
N02_01_N02_02_S0,validation,0.8593322401667622
N02_01_N03_01_S0,calibration,0.5141044774383827
N02_01_N03_01_S0,validation,0.6942380670785524
N02_01_N03_01_S1,calibration,0.5065642827571862
N02_01_N03_01_S1,validation,0.6211513748970209
N02_02_N02_03_S0,calibration,0.709502739942037
N02_02_N02_03_S0,validation,0.7750226133279703
N02_02_N02_03_S1,calibration,0.7483757771486454
N02_02_N02_03_S1,validation,0.9409689372849381
N02_02_N03_02_S0,calibration,0.6943250192493718
N02_02_N03_02_S0,validation,0.8081976265240869
N02_02_N03_02_S1,calibration,0.8093448831785878
N02_02_N03_02_S1,validation,0.9458699115998634
N02_03_N02_04_S0,calibration,0.5306476109516193
N02_03_N02_04_S0,validation,0.7902401968496672
N02_03_N03_03_S0,calibration,0.5212627759968935
N02_03_N03_03_S0,validation,0.6595950876293102
N02_03_N03_03_S1,calibration,0.5752608963625052
N02_03_N03_03_S1,validation,0.6841025397736574
N02_04_N03_04_S0,calibration,0.7836433216930984
N02_04_N03_04_S0,validation,0.7725262413215473
N02_04_N03_04_S1,calibration,0.8512507790382254
N02_04_N03_04_S1,validation,0.8291245927679438
N03_00_N03_01_S0,calibration,0.9260753107795364
N03_00_N03_01_S0,validation,0.8892108722736471
N03_00_N03_01_S1,calibration,0.8180078319641417
N03_00_N03_01_S1,validation,0.9238864720783578
N03_00_N04_00_S0,calibration,0.7822513353411534
N03_00_N04_00_S0,validation,0.8196633579269985
N03_00_N04_00_S1,calibration,0.8114840014498086
N03_00_N04_00_S1,validation,0.8032265845699903
N03_01_N03_02_S1,calibration,0.505913673730505
N03_01_N03_02_S1,validation,0.6577451983929031
N03_01_N04_01_S0,calibration,0.8663577107643902
N03_01_N04_01_S0,validation,0.8900840876986202
N03_01_N04_01_S1,calibration,0.9161110878351403
N03_01_N04_01_S1,validation,0.9618444578754868
N03_02_N03_03_S0,calibration,0.5171512174454932
N03_02_N03_03_S0,validation,0.6420576760371465
N03_02_N03_03_S1,calibration,0.5269416678993032
N03_02_N03_03_S1,validation,0.5929644281331071
N03_02_N04_02_S0,calibration,0.5840027783799664
N03_02_N04_02_S0,validation,0.7593641112361922
N03_02_N04_02_S1,calibration,0.5034388423943195
N03_02_N04_02_S1,validation,0.640784116274305
N03_03_N03_04_S0,calibration,0.8684933640288462
N03_03_N03_04_S0,validation,0.8828057415575601
N03_03_N03_04_S1,calibration,0.9355817548969598
N03_03_N03_04_S1,validation,0.8847200488935271
N03_03_N04_03_S1,calibration,0.9628422362114468
N03_03_N04_03_S1,validation,0.8836419702327276
N03_04_N04_04_S0,calibration,0.8234936410281112
N03_04_N04_04_S0,validation,0.8392876227660766
N03_04_N04_04_S1,calibration,0.8080312144279029
N03_04_N04_04_S1,validation,0.870128927112022
N04_00_N04_01_S1,calibration,0.850109437722099
N04_00_N04_01_S1,validation,0.7709957313252966
N04_01_N04_02_S0,calibration,0.7317536375477677
N04_01_N04_02_S0,validation,0.82573397420974
N04_01_N04_02_S1,calibration,0.7823207192904966
N04_01_N04_02_S1,validation,0.8266427344742601
N04_03_N04_04_S0,calibration,0.8072366155413356
N04_03_N04_04_S0,validation,0.7578517080931199
N04_03_N04_04_S1,calibration,0.7083045302530145
N04_03_N04_04_S1,validation,0.8183062349425722
